               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.022418,            0.014433,           0.0060523,              0.8754,             0.87788,             0.92607,             0.79031,            0.012246,           0.0059402,           0.0034217,            0.006634,            0.006634,            0.006634
                  36,             0.02214,            0.014267,           0.0059788,             0.85823,             0.88206,             0.92659,             0.79215,            0.012225,           0.0059459,           0.0034408,            0.006535,            0.006535,            0.006535
                  37,            0.022107,            0.014318,           0.0058867,             0.85909,             0.88284,             0.92666,             0.79244,            0.012228,           0.0059262,           0.0034434,            0.006436,            0.006436,            0.006436
                  38,             0.02207,              0.0142,           0.0055517,             0.86425,             0.87736,             0.92629,              0.7927,            0.012283,           0.0059037,           0.0035471,            0.006337,            0.006337,            0.006337
                  39,            0.022158,            0.014083,           0.0055369,             0.86462,             0.87956,             0.92687,              0.7921,            0.012236,           0.0059227,           0.0034941,            0.006238,            0.006238,            0.006238
                  40,            0.021949,            0.014194,           0.0055348,             0.85996,             0.89108,              0.9265,              0.7921,            0.012215,           0.0059326,           0.0034988,            0.006139,            0.006139,            0.006139
                  41,            0.021891,            0.014096,           0.0056573,             0.87675,             0.87921,             0.92605,             0.79102,            0.012177,           0.0059381,           0.0035738,             0.00604,             0.00604,             0.00604
                  42,            0.021816,            0.014218,           0.0056022,             0.87566,             0.87912,             0.92542,             0.79078,            0.012122,           0.0059598,           0.0034958,            0.005941,            0.005941,            0.005941
                  43,            0.021944,            0.014034,           0.0053626,             0.86585,             0.89294,             0.92736,             0.79273,            0.012092,           0.0059423,           0.0035288,            0.005842,            0.005842,            0.005842
                  44,            0.021771,            0.014017,           0.0054476,             0.86037,             0.90044,             0.92836,             0.79609,            0.012062,           0.0059291,            0.003567,            0.005743,            0.005743,            0.005743
                  45,            0.021695,            0.013869,           0.0055513,             0.87452,             0.88746,             0.92765,             0.79555,            0.012066,           0.0059451,           0.0034948,            0.005644,            0.005644,            0.005644
                  46,            0.021626,             0.01396,           0.0054256,             0.87908,             0.88111,             0.92825,             0.79711,            0.012053,            0.005941,           0.0033995,            0.005545,            0.005545,            0.005545
                  47,            0.021545,             0.01391,            0.005342,             0.88073,             0.87832,             0.92873,             0.79747,            0.012041,           0.0059286,           0.0033329,            0.005446,            0.005446,            0.005446
                  48,            0.021484,            0.013845,            0.005481,             0.87781,             0.87651,             0.92865,             0.79726,             0.01201,           0.0059425,           0.0034055,            0.005347,            0.005347,            0.005347
